CSDUID,CSDNAME,Type,Price,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population,Province,combined_coordinates
3501042,North Stormont,Duplex/Triplex,1800.0,3.0,2.0,0,0,1,1850.0,1 Year,7828,Ontario,"45.1234837,-75.0924985"
3501050,North Glengarry,Apartment,1450.0,2.0,1.0,0,0,0,1266.0,1 Year,10537,Ontario,"45.3139668,-74.6352838"
3501050,North Glengarry,Apartment,850.0,2.0,1.0,0,0,1,650.0,1 Year,10537,Ontario,"45.2886749,-74.8545436"
3501050,North Glengarry,Condo,1575.0,2.0,1.0,0,0,1,900.0,1 Year,10537,Ontario,"45.3111909,-74.6354902"
3502008,Hawkesbury,Apartment,1000.0,2.0,1.0,0,1,1,800.0,1 Year,10632,Ontario,"45.6105461,-74.5981073"
3502008,Hawkesbury,Apartment,1395.0,1.0,1.0,0,1,1,650.0,1 Year,10632,Ontario,"45.6094735,-74.6058962"
3502008,Hawkesbury,Apartment,1200.0,2.0,1.0,0,0,1,700.0,1 Year,10632,Ontario,"45.606357,-74.610877"
3502008,Hawkesbury,House,1900.0,3.0,2.0,0,0,1,2634.0,1 Year,10632,Ontario,"45.603024,-74.5812572"
3502008,Hawkesbury,Duplex/Triplex,1300.0,2.0,1.0,0,0,1,850.0,1 Year,10632,Ontario,"45.6026111,-74.6174989"
3502008,Hawkesbury,Apartment,975.0,2.0,1.0,0,0,1,800.0,1 Year,10632,Ontario,"45.6048131,-74.5879529"
3502008,Hawkesbury,Apartment,1075.0,2.0,1.0,0,0,0,1050.0,1 Year,10632,Ontario,"45.604673,-74.591799"
3502008,Hawkesbury,Apartment,1195.0,3.0,1.0,0,0,1,850.0,1 Year,10632,Ontario,"45.6039763,-74.587917"
3502008,Hawkesbury,Duplex/Triplex,1500.0,3.0,1.0,0,0,1,1600.0,1 Year,10632,Ontario,"45.6086141,-74.6025337"
3502008,Hawkesbury,House,1300.0,3.0,1.0,0,1,1,1000.0,Month-to-month,10632,Ontario,"45.6036854,-74.6028034"
3502010,Champlain,Apartment,975.0,1.0,1.0,0,1,1,700.0,1 Year,9044,Ontario,"45.6192681,-74.6928116"
